epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,400.058,1.33327,1.38514,1.86553,0.81688,0.68613,0.74921,0.37271,1.70277,1.49486,2.56486,0.0014588,0.0014588,0.0014588
43,409.591,1.30733,1.40666,1.86608,0.79972,0.69343,0.77815,0.3956,1.62741,1.30845,2.49548,0.0014456,0.0014456,0.0014456
44,419.722,1.34145,1.42261,1.88296,0.7968,0.71555,0.76755,0.35228,1.74732,1.31402,2.80855,0.0014324,0.0014324,0.0014324
45,429.306,1.29889,1.35782,1.85766,0.79845,0.7229,0.77091,0.3573,1.7877,1.43364,2.89121,0.0014192,0.0014192,0.0014192
46,438.411,1.26861,1.31046,1.8111,0.82075,0.71533,0.80556,0.3764,1.73926,1.40627,2.74247,0.001406,0.001406,0.001406
47,448.438,1.25113,1.30646,1.8117,0.82187,0.72263,0.77721,0.35913,1.7776,1.41139,2.77713,0.0013928,0.0013928,0.0013928
48,458.516,1.32704,1.37772,1.85805,0.72765,0.73723,0.76766,0.38002,1.58285,1.45788,2.4321,0.0013796,0.0013796,0.0013796
49,467.448,1.29997,1.37641,1.84785,0.83651,0.78102,0.82909,0.38431,1.68268,1.34145,2.80878,0.0013664,0.0013664,0.0013664
50,477.602,1.26192,1.29316,1.79916,0.8224,0.70073,0.77593,0.39045,1.69007,1.30225,2.6958,0.0013532,0.0013532,0.0013532
51,487.983,1.29482,1.37633,1.82718,0.81114,0.75912,0.81589,0.39653,1.64202,1.29167,2.51952,0.00134,0.00134,0.00134
52,497.264,1.24469,1.31037,1.7957,0.88881,0.75912,0.78384,0.38021,1.71487,1.29286,2.87192,0.0013268,0.0013268,0.0013268
53,506.699,1.26671,1.33313,1.81107,0.77583,0.74453,0.80889,0.40408,1.63682,1.2498,2.51903,0.0013136,0.0013136,0.0013136
54,516.678,1.22931,1.30873,1.79237,0.85984,0.59854,0.7163,0.354,1.67045,1.47939,2.66492,0.0013004,0.0013004,0.0013004
55,526.169,1.2041,1.25823,1.78514,0.82496,0.83212,0.84251,0.44829,1.59588,1.18728,2.46105,0.0012872,0.0012872,0.0012872
56,535.019,1.21797,1.28964,1.78344,0.86223,0.77663,0.82275,0.43658,1.50839,1.23096,2.38094,0.001274,0.001274,0.001274
57,545.44,1.22369,1.27877,1.78742,0.81054,0.72263,0.79821,0.38767,1.63821,1.36089,2.568,0.0012608,0.0012608,0.0012608
58,555.308,1.22837,1.25782,1.78558,0.83158,0.75686,0.82756,0.42629,1.57403,1.21938,2.46851,0.0012476,0.0012476,0.0012476
59,563.978,1.22906,1.22151,1.75851,0.85097,0.72263,0.83385,0.43561,1.51963,1.27248,2.29244,0.0012344,0.0012344,0.0012344
60,573.838,1.19075,1.22991,1.74713,0.81427,0.81022,0.8245,0.46188,1.55839,1.18572,2.39895,0.0012212,0.0012212,0.0012212
61,583.94,1.19431,1.26287,1.7555,0.85471,0.75182,0.81902,0.43694,1.60197,1.19993,2.59561,0.001208,0.001208,0.001208
62,592.418,1.19383,1.23859,1.73388,0.77563,0.75699,0.79625,0.43282,1.573,1.3538,2.50111,0.0011948,0.0011948,0.0011948
63,602.145,1.16052,1.21007,1.71106,0.87996,0.74915,0.82012,0.43096,1.59802,1.22663,2.47596,0.0011816,0.0011816,0.0011816
64,612.006,1.1677,1.20947,1.72974,0.80482,0.72236,0.76359,0.37171,1.70338,1.33237,2.83508,0.0011684,0.0011684,0.0011684
65,620.653,1.14048,1.18446,1.71689,0.86909,0.72689,0.82384,0.44292,1.52831,1.26356,2.43956,0.0011552,0.0011552,0.0011552
