epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18031.9,1.39318,1.46317,1.93839,0.76216,0.72511,0.73682,0.34994,1.85353,1.59627,2.83401,0.00098525,0.00098525,0.00098525
43,18450.5,1.42672,1.47233,1.92801,0.78134,0.67814,0.73199,0.37356,1.6612,1.60467,2.52738,0.0009605,0.0009605,0.0009605
44,18869.1,1.34012,1.43961,1.90875,0.82428,0.67883,0.77903,0.38968,1.62269,1.54597,2.48333,0.00093575,0.00093575,0.00093575
45,19288.1,1.35446,1.41658,1.90033,0.76341,0.72263,0.78933,0.41024,1.59018,1.62166,2.40863,0.000911,0.000911,0.000911
46,19716.8,1.35444,1.39897,1.87089,0.78863,0.70803,0.79558,0.41638,1.66827,1.41549,2.5059,0.00088625,0.00088625,0.00088625
47,20139,1.31465,1.37012,1.87207,0.85648,0.67153,0.79667,0.42051,1.60257,1.47282,2.4301,0.0008615,0.0008615,0.0008615
48,20557.5,1.34276,1.42124,1.86542,0.85042,0.70073,0.78659,0.40627,1.64178,1.4629,2.5701,0.00083675,0.00083675,0.00083675
49,20979.7,1.32226,1.38831,1.86414,0.87099,0.69343,0.80938,0.42002,1.71313,1.35705,2.55629,0.000812,0.000812,0.000812
50,21438.7,1.33096,1.35568,1.86213,0.78132,0.72993,0.77184,0.41166,1.60439,1.44467,2.46589,0.00078725,0.00078725,0.00078725
51,21858.4,1.27921,1.31542,1.83466,0.76848,0.72686,0.76274,0.42681,1.55628,1.45193,2.42273,0.0007625,0.0007625,0.0007625
52,22281.6,1.27972,1.32428,1.81952,0.84778,0.70073,0.80775,0.41455,1.64223,1.35365,2.55983,0.00073775,0.00073775,0.00073775
53,22698,1.29638,1.3193,1.82354,0.81011,0.73723,0.79314,0.43708,1.60902,1.41645,2.48857,0.000713,0.000713,0.000713
54,23111.9,1.30301,1.35654,1.86244,0.74589,0.71533,0.77563,0.42471,1.49074,1.44061,2.39175,0.00068825,0.00068825,0.00068825
55,23538.3,1.27511,1.33708,1.81774,0.72391,0.78468,0.79118,0.42584,1.5764,1.36296,2.40532,0.0006635,0.0006635,0.0006635
56,23956.5,1.25489,1.28276,1.79103,0.82811,0.73848,0.80363,0.44355,1.54115,1.26983,2.37683,0.00063875,0.00063875,0.00063875
57,24373.7,1.22881,1.2596,1.78144,0.78334,0.76536,0.81864,0.43954,1.56546,1.55025,2.43296,0.000614,0.000614,0.000614
58,24796.1,1.23575,1.27285,1.7901,0.80695,0.77372,0.81625,0.43759,1.60439,1.49126,2.55431,0.00058925,0.00058925,0.00058925
59,25216.5,1.24222,1.25327,1.78858,0.79944,0.78558,0.8243,0.43601,1.61325,1.23759,2.53426,0.0005645,0.0005645,0.0005645
60,25614.9,1.25377,1.27223,1.80417,0.74923,0.78832,0.8336,0.45824,1.57524,1.3088,2.41806,0.00053975,0.00053975,0.00053975
61,26013.2,1.27231,1.32018,1.81492,0.7811,0.78102,0.82945,0.46232,1.58235,1.25249,2.41337,0.000515,0.000515,0.000515
62,26410.3,1.24995,1.31469,1.79367,0.8199,0.79752,0.85692,0.47842,1.44142,1.20124,2.27743,0.00049025,0.00049025,0.00049025
63,26810.2,1.21941,1.26593,1.78127,0.87982,0.72993,0.85044,0.46422,1.54785,1.29445,2.41906,0.0004655,0.0004655,0.0004655
64,27211.6,1.21319,1.2555,1.77418,0.86155,0.75182,0.83323,0.46384,1.50392,1.2656,2.35751,0.00044075,0.00044075,0.00044075
65,27611.6,1.20243,1.22436,1.75353,0.89301,0.76642,0.85262,0.47382,1.48027,1.19872,2.32724,0.000416,0.000416,0.000416
66,28011.6,1.2204,1.25134,1.75478,0.86806,0.81638,0.85693,0.47425,1.4711,1.24229,2.30266,0.00039125,0.00039125,0.00039125
67,28415.1,1.16328,1.21305,1.74956,0.88013,0.8039,0.86323,0.47647,1.45644,1.22745,2.27657,0.0003665,0.0003665,0.0003665
68,28816.1,1.18346,1.26194,1.76698,0.88919,0.76148,0.84128,0.47157,1.48215,1.2251,2.34483,0.00034175,0.00034175,0.00034175
69,29233,1.17621,1.19078,1.73843,0.80096,0.78832,0.84729,0.46045,1.50388,1.36107,2.38322,0.000317,0.000317,0.000317
70,29649.8,1.19726,1.22388,1.74149,0.88415,0.77992,0.86083,0.4743,1.46577,1.25438,2.30939,0.00029225,0.00029225,0.00029225
71,30068.1,1.20807,1.40573,1.95881,0.80612,0.75875,0.79203,0.43687,1.47157,1.46529,2.385,0.0002675,0.0002675,0.0002675
72,30484.3,1.16716,1.19169,1.93678,0.86682,0.80763,0.84212,0.47569,1.43411,1.1882,2.29887,0.00024275,0.00024275,0.00024275
73,30902.3,1.16571,1.1508,1.91056,0.83051,0.78688,0.86264,0.48801,1.38019,1.15967,2.18382,0.000218,0.000218,0.000218
74,31318,1.13309,1.0986,1.87688,0.87873,0.78832,0.8758,0.49097,1.35525,1.12484,2.16145,0.00019325,0.00019325,0.00019325
75,31734.7,1.1182,1.0902,1.85535,0.8796,0.77372,0.85531,0.49623,1.33428,1.11978,2.14534,0.0001685,0.0001685,0.0001685
76,32148.6,1.0915,1.06908,1.85797,0.86951,0.79562,0.85927,0.49959,1.31765,1.1367,2.11287,0.00014375,0.00014375,0.00014375
77,32566.7,1.07624,1.03894,1.84636,0.90846,0.79562,0.89207,0.50945,1.38401,1.09735,2.17689,0.000119,0.000119,0.000119
78,32981.8,1.05983,1.0404,1.8203,0.90011,0.79562,0.89635,0.51434,1.33178,1.10992,2.12755,9.425e-05,9.425e-05,9.425e-05
79,33394.2,1.04702,0.99637,1.80571,0.92174,0.80292,0.89845,0.51247,1.28182,1.08969,2.09642,6.95e-05,6.95e-05,6.95e-05
80,33808.2,1.05971,1.05353,1.82435,0.92428,0.80189,0.89117,0.50737,1.28275,1.08917,2.09321,4.475e-05,4.475e-05,4.475e-05
